H-1,3,R-5, R-4, R-1, R-6, R-3, R-10, R-8, R-9, R-11, R-12, R-2, R-7
H-2,1,R-9, R-4, R-10, R-1, R-11, R-5, R-3, R-7, R-6, R-2, R-8, R-12
H-3,4,R-11, R-2, R-9, R-12, R-5, R-7, R-8, R-1, R-6, R-3, R-10, R-4

R-1,H-2, H-1, H-3
R-2,H-2, H-3, H-1
R-3,H-1, H-3, H-2
R-4,H-1, H-3, H-2
R-5,H-2, H-3, H-1
R-6,H-1, H-2, H-3
R-7,H-1, H-2, H-3
R-8,H-1, H-2, H-3
R-9,H-3, H-1, H-2
R-10,H-2, H-3, H-1
R-11,H-3, H-1, H-2
R-12,H-3, H-1, H-2
R-13,H-1, H-3, H-2
R-14,H-3, H-1, H-2
R-15,H-2, H-1, H-3
R-16,H-1, H-3, H-2
R-17,H-1, H-3, H-2
R-18,H-3, H-1, H-2
