H-1,4,R-12, R-6, R-14, R-28, R-7, R-16, R-8, R-10, R-13, R-22, R-3, R-5, R-23, R-27, R-24, R-4, R-11, R-9, R-26, R-15, R-19, R-20, R-25, R-17, R-21, R-2, R-29, R-18, R-1
H-2,1,R-13, R-26, R-3, R-28, R-25, R-5, R-27, R-10, R-29, R-6, R-14, R-7, R-4, R-1, R-24, R-20, R-19, R-22, R-2, R-16, R-18, R-15, R-12, R-21, R-11, R-23, R-8, R-9, R-17
H-3,1,R-28, R-19, R-23, R-22, R-14, R-2, R-29, R-26, R-8, R-21, R-12, R-18, R-16, R-20, R-4, R-6, R-11, R-1, R-24, R-27, R-3, R-10, R-15, R-17, R-25, R-7, R-9, R-5, R-13
H-4,1,R-25, R-18, R-22, R-27, R-16, R-20, R-23, R-24, R-15, R-7, R-21, R-6, R-14, R-2, R-10, R-8, R-26, R-3, R-4, R-12, R-9, R-17, R-11, R-29, R-13, R-1, R-28, R-19, R-5
H-5,1,R-18, R-19, R-25, R-13, R-28, R-24, R-9, R-2, R-29, R-17, R-4, R-26, R-15, R-16, R-23, R-1, R-21, R-8, R-7, R-6, R-10, R-14, R-3, R-11, R-5, R-20, R-22, R-12, R-27
H-6,3,R-7, R-11, R-9, R-25, R-3, R-21, R-12, R-8, R-24, R-6, R-16, R-18, R-20, R-4, R-14, R-28, R-1, R-2, R-22, R-10, R-19, R-29, R-5, R-15, R-13, R-23, R-17, R-27, R-26

R-1,H-6, H-2, H-3, H-1, H-4, H-5
R-2,H-6, H-3, H-1, H-5, H-2, H-4
R-3,H-4, H-1, H-6, H-2, H-3, H-5
R-4,H-4, H-5, H-3, H-6, H-2, H-1
R-5,H-5, H-3, H-2, H-1, H-6, H-4
R-6,H-5, H-4, H-3, H-2, H-1, H-6
R-7,H-1, H-5, H-3, H-4, H-2, H-6
R-8,H-5, H-3, H-6, H-1, H-4, H-2
R-9,H-2, H-1, H-5, H-3, H-4, H-6
R-10,H-3, H-1, H-6, H-5, H-2, H-4
R-11,H-1, H-4, H-2, H-5, H-3, H-6
R-12,H-5, H-1, H-3, H-4, H-6, H-2
R-13,H-4, H-2, H-1, H-5, H-3, H-6
R-14,H-4, H-2, H-6, H-3, H-1, H-5
R-15,H-5, H-4, H-3, H-1, H-6, H-2
R-16,H-5, H-3, H-4, H-6, H-2, H-1
R-17,H-2, H-3, H-4, H-1, H-5, H-6
R-18,H-5, H-1, H-6, H-2, H-4, H-3
R-19,H-3, H-6, H-4, H-5, H-1, H-2
R-20,H-6, H-1, H-2, H-5, H-3, H-4
R-21,H-5, H-3, H-1, H-2, H-6, H-4
R-22,H-2, H-5, H-1, H-4, H-3, H-6
R-23,H-5, H-1, H-6, H-4, H-2, H-3
R-24,H-2, H-4, H-1, H-6, H-3, H-5
R-25,H-2, H-4, H-6, H-3, H-5, H-1
R-26,H-6, H-3, H-5, H-2, H-1, H-4
R-27,H-4, H-6, H-5, H-3, H-2, H-1
R-28,H-4, H-6, H-1, H-2, H-3, H-5
R-29,H-2, H-1, H-4, H-6, H-5, H-3
